card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
xy11-60,Sneasel,Steam Siege,Common,2016/08/03,cardmarket,normal,0.07,0.04,0.05,0.05,2026-07-28
bw10-61,Escavalier,Plasma Blast,Rare,2013/08/14,tcgplayer,normal,0.52,,,,2026-07-28
bw10-61,Escavalier,Plasma Blast,Rare,2013/08/14,tcgplayer,reverseHolofoil,0.93,,,,2026-07-28
bw10-61,Escavalier,Plasma Blast,Rare,2013/08/14,cardmarket,normal,0.6,0.49,0.59,0.51,2026-07-28
sm35-47,Spiritomb,Shining Legends,Uncommon,2017/10/06,tcgplayer,normal,0.19,,,,2026-07-28
sm35-47,Spiritomb,Shining Legends,Uncommon,2017/10/06,tcgplayer,reverseHolofoil,0.3,,,,2026-07-28
sm35-47,Spiritomb,Shining Legends,Uncommon,2017/10/06,cardmarket,normal,0.09,0.05,0.08,0.08,2026-07-28
sm115-57,Giovanni's Exile,Hidden Fates,Uncommon,2019/08/23,tcgplayer,normal,0.11,,,,2026-07-28
sm115-57,Giovanni's Exile,Hidden Fates,Uncommon,2019/08/23,tcgplayer,reverseHolofoil,0.35,,,,2026-07-28
sm115-57,Giovanni's Exile,Hidden Fates,Uncommon,2019/08/23,cardmarket,normal,0.06,0.04,0.07,0.07,2026-07-28
bw1-54,Scolipede,Black & White,Rare,2011/04/25,tcgplayer,normal,0.67,,,,2026-07-28
bw1-54,Scolipede,Black & White,Rare,2011/04/25,tcgplayer,reverseHolofoil,2.22,,,,2026-07-28
bw1-54,Scolipede,Black & White,Rare,2011/04/25,cardmarket,normal,0.74,1.2,0.64,0.72,2026-07-28
swsh3-51,Mareanie,Darkness Ablaze,Common,2020/08/14,tcgplayer,reverseHolofoil,0.38,,,,2026-07-28
swsh3-51,Mareanie,Darkness Ablaze,Common,2020/08/14,tcgplayer,normal,0.11,,,,2026-07-28
swsh3-51,Mareanie,Darkness Ablaze,Common,2020/08/14,cardmarket,normal,0.09,0.03,0.1,0.09,2026-07-28
sm5-56,Croagunk,Ultra Prism,Common,2018/02/02,tcgplayer,reverseHolofoil,0.35,,,,2026-07-28
sm5-56,Croagunk,Ultra Prism,Common,2018/02/02,tcgplayer,normal,0.03,,,,2026-07-28
sm5-56,Croagunk,Ultra Prism,Common,2018/02/02,cardmarket,normal,0.07,0.07,0.07,0.07,2026-07-28
ex9-56,Mudkip,Emerald,Common,2005/05/01,tcgplayer,normal,7.79,,,,2026-07-28
ex9-56,Mudkip,Emerald,Common,2005/05/01,tcgplayer,reverseHolofoil,110.46,,,,2026-07-28
ex9-56,Mudkip,Emerald,Common,2005/05/01,cardmarket,normal,2.98,0.73,5.11,1.49,2026-07-28
sm6-52,Skrelp,Forbidden Light,Common,2018/05/04,tcgplayer,normal,0.17,,,,2026-07-28
sm6-52,Skrelp,Forbidden Light,Common,2018/05/04,tcgplayer,reverseHolofoil,0.36,,,,2026-07-28
sm6-52,Skrelp,Forbidden Light,Common,2018/05/04,cardmarket,normal,0.09,0.03,0.09,0.1,2026-07-28
dp6-53,Drifblim,Legends Awakened,Uncommon,2008/08/01,tcgplayer,normal,0.53,,,,2026-07-28
dp6-53,Drifblim,Legends Awakened,Uncommon,2008/08/01,tcgplayer,reverseHolofoil,2.49,,,,2026-07-28
dp6-53,Drifblim,Legends Awakened,Uncommon,2008/08/01,cardmarket,normal,0.41,0.35,0.36,0.38,2026-07-28
bwp-BW45,Mewtwo-EX,BW Black Star Promos,Promo,2011/03/01,tcgplayer,holofoil,22.71,,,,2026-07-28
bwp-BW45,Mewtwo-EX,BW Black Star Promos,Promo,2011/03/01,cardmarket,normal,8.3,4.12,6.61,6.22,2026-07-28
pl2-52,Tropius,Rising Rivals,Uncommon,2009/05/16,tcgplayer,normal,0.37,,,,2026-07-28
pl2-52,Tropius,Rising Rivals,Uncommon,2009/05/16,tcgplayer,reverseHolofoil,2.09,,,,2026-07-28
pl2-52,Tropius,Rising Rivals,Uncommon,2009/05/16,cardmarket,normal,0.02,0.05,0.93,1.03,2026-07-28
ex11-56,Volbeat,Delta Species,Uncommon,2005/10/31,tcgplayer,normal,1.07,,,,2026-07-28
ex11-56,Volbeat,Delta Species,Uncommon,2005/10/31,tcgplayer,reverseHolofoil,25.89,,,,2026-07-28
ex11-56,Volbeat,Delta Species,Uncommon,2005/10/31,cardmarket,normal,1.5,0.31,0.7,1.14,2026-07-28
xy10-54a,Zygarde-EX,Fates Collide,Rare Ultra,2016/05/02,cardmarket,normal,62.2,80.0,55.54,47.26,2026-07-28
ex15-46,Dratini δ,Dragon Frontiers,Common,2006/11/01,tcgplayer,normal,4.08,,,,2026-07-28
